IDCNT,RISK_NATURE_1,RISK_NATURE_2,RISK_NATURE_3,RISK_FAMILY_STRUCT,RISK_ROOMS_NB,RISK_PROT_1,RISK_PROT_2,SURF_HOUSE,SURF_VER,SURF_OUTB,SURF_GR,OPTION_1,OPTION_2,OPTION_3,OPTION_4,OPTION_5,OPTION_6,OPTION_7,OPTION_8,INSEE_CODE,ZONE_1,ZONE_2,ZONE_3,AMOUNT
1000264,PH,FT,2,1,2,4,0,3,0,0,0,False,False,False,False,False,False,False,False,39367,C,D,G,0.0
1000959,PH,HT,2,3,2,4,0,6,0,1,1,False,False,False,False,False,False,False,False,24569,D,C,J,0.0
1001112,SH,FO,1,0,2,4,0,4,0,0,0,False,False,False,False,False,False,False,False,64545,E,M,L,0.0
1001259,PH,HO,1,3,5,1,1,12,0,1,2,False,False,False,False,False,False,False,False,76561,H,K,G,0.0
1001373,PH,FT,2,1,1,4,0,1,0,0,0,False,False,False,False,False,False,False,False,14118,E,E,C,0.0
1001504,PH,HO,1,1,5,4,0,9,0,1,1,False,False,False,False,False,False,False,False,51562,H,H,E,0.0
1002002,PH,HO,1,1,5,4,0,9,0,1,1,False,False,False,False,False,False,False,False,59268,J,D,M,0.0
1002605,PH,HO,1,2,11,2,2,25,0,1,7,False,False,False,False,False,False,True,False,37281,F,H,E,0.0
1002640,PH,HO,1,4,7,4,0,14,0,1,1,False,False,False,False,False,False,False,False,59646,N,P,M,0.0
1002784,PH,FT,2,3,2,1,1,4,0,0,0,False,False,False,False,False,False,False,False,93032,S,R,C,0.0
1004161,PH,HO,1,4,7,4,0,14,0,1,2,False,False,False,False,False,False,False,False,72154,D,C,E,0.0
1004613,PH,FT,2,2,4,4,0,7,0,0,0,False,False,False,False,False,False,False,False,13203,T,P,K,0.0
1004642,PH,HO,1,4,5,1,0,12,0,1,2,False,False,False,True,False,False,True,True,29019,C,E,E,0.0
1005080,PH,FT,2,2,4,4,0,7,0,0,0,False,False,False,False,False,False,True,False,34301,L,P,J,0.0
1005207,PH,HO,1,4,6,4,0,14,0,1,1,False,False,False,False,False,False,False,True,62489,E,D,J,0.0
1005964,PH,FT,2,2,3,4,0,6,0,0,0,False,False,False,False,False,False,True,False,60159,J,H,H,2209.756794300001
1006106,PH,HO,1,3,6,1,1,11,1,1,1,False,False,False,False,False,True,False,False,01283,D,D,H,0.0
1007494,PH,FO,5,4,3,1,1,6,0,0,0,False,False,False,False,False,False,False,False,75113,R,W,C,0.0
1007558,PH,HO,1,4,5,4,0,10,0,1,3,False,False,False,False,False,False,False,False,62351,J,D,J,0.0
1007728,PH,HT,2,4,5,4,0,9,0,1,0,False,False,True,False,False,False,False,False,01384,E,D,H,0.0
1007771,PH,HO,1,3,5,4,0,10,0,1,1,False,False,False,False,False,True,True,False,42186,L,F,J,0.0
1008554,PH,HO,1,3,5,1,1,12,0,1,3,False,False,False,False,False,False,False,False,60504,M,H,H,0.0
1009246,PH,HO,1,4,5,1,1,10,6,1,1,False,False,False,False,False,False,False,True,59462,J,F,M,0.0
1009296,PH,HO,1,3,5,4,0,12,0,1,1,False,False,False,False,False,False,False,False,44905,G,H,E,0.0
1009354,PH,HO,1,1,3,1,1,8,0,1,1,False,True,False,False,False,False,True,False,31084,C,E,K,0.0
1009470,PH,HT,2,3,2,4,0,4,0,0,1,False,False,False,False,False,False,False,True,16085,C,D,G,0.0
1010032,PH,FT,2,4,5,4,0,12,0,0,0,False,False,False,False,False,False,True,False,75120,R,W,C,0.0
1010502,PH,FT,2,2,2,4,0,4,0,0,0,False,False,False,False,False,False,False,False,75120,R,W,C,0.0
